model,dataset,accuracy,precision,recall,f1,auc_roc,train_time_s,inference_time_ms_per_sample
DecisionTree,uci,0.9644,0.9708,0.9483,0.9594,0.9772,4.7262,0.001948
RandomForest,uci,0.9711,0.9699,0.9646,0.9673,0.9968,58.3852,0.066113
XGBoost,uci,0.9662,0.9722,0.951,0.9615,0.9965,21.5106,0.003979
CatBoost,uci,0.9687,0.9723,0.9565,0.9643,0.997,60.0612,0.002604
LogisticRegression,uci,0.9337,0.931,0.9184,0.9247,0.9797,1.5327,0.001431
SVM,uci,0.9675,0.9789,0.9469,0.9627,0.9961,49.1253,0.089371
DecisionTree,mendeley,0.8672,0.8276,0.816,0.8218,0.8865,49.0802,0.001612
RandomForest,mendeley,0.8895,0.8506,0.8556,0.8531,0.9556,547.791,0.034365
XGBoost,mendeley,0.8921,0.8512,0.8631,0.8571,0.9595,109.9237,0.007158
CatBoost,mendeley,0.8934,0.8617,0.8527,0.8571,0.9587,280.0242,0.002332
LogisticRegression,mendeley,0.8001,0.7152,0.7758,0.7443,0.8811,21.0804,0.001355
SVM,mendeley,0.8587,0.7924,0.8442,0.8175,0.9374,316.2527,0.30446
DecisionTree,iscx,0.9727,0.9864,0.9578,0.9719,0.9725,11.2189,0.002119
RandomForest,iscx,0.9844,0.9911,0.9772,0.9841,0.9991,424.1557,0.060316
XGBoost,iscx,0.987,0.9929,0.9807,0.9867,0.999,47.5201,0.005157
CatBoost,iscx,0.9844,0.992,0.9763,0.9841,0.9988,212.5145,0.003236
LogisticRegression,iscx,0.9579,0.9546,0.9605,0.9575,0.9919,8.177,0.00208
SVM,iscx,0.9814,0.9858,0.9763,0.981,0.9965,108.491,0.086242
